A128,A129,A130,A154,A347,A360,A361,A362,PMI,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,wave,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
16824,730,15103,1,1,6,711.175171,15.890342,1,4942.871094,765.676758,749.846679,305.261719,-12.4853510000003,-349.17334,72.2270509999998,155.436036,850644,0.371998,6558,three,0.373216,5.230355,-8.557163,-0.0416470000000002,0.636289,3.105382,0.0605470490418714,1
17659,339,14790,1,1,6,798.052673,4.2221,0,4861.02832,1036.746094,823.920899,402.327148,-314.784668,-174.195801,299.478516,221.865235,860220,0.356498,5641,three,0.333158,5.200649,-8.561482,-0.0416669999999999,0.638386,3.097272,0.0533727729286275,2.26905829596413
18504,1194,14530,1,1,6,900.860779,6.842926,0,5037.571777,968.171875,866.394043,-961.354492,826.09375,-47.3959960000002,284.43457,296.239747,851618,0.340998,4729,three,0.289447,5.164699,-8.563162,-0.041728,0.6402,3.089438,0.0437899338017287,2.26905829596413
19357,2106,14326,0,1,6,960.3479,5.526674,1,4678.335449,491.793946,908.172363,-967.126953,959.525879,23.8134770000006,-432.59082,394.937989,851618,0.387498,3824,three,0.242212,5.122668,-8.562245,-0.0418269999999996,0.641735,3.081881,0.0364828626109564,1
20216,3025,14180,0,1,6,1008.143982,5.107049,0,4697.397461,456.543457000001,814.859375,-133.513671999999,-109.683105,-24.8046880000002,-90.314453,287.14795,817209,0.526997,2932,three,0.191584000000001,5.074718,-8.558769,-0.041963,0.642991,3.074607,0.0275247632492342,1.70179372197309
21082,3949,14095,0,1,6,1061.408447,13.223414,0,4510.713867,1116.677246,506.094727,423.973144,-473.656738,132.57666,527.689453,118.921386999999,834413,0.666497,2073,three,0.137692,5.02101,-8.552774,-0.0421309999999999,0.643967,3.06762,0.022747354887417,1.13452914798206
15694,2471,15012,1,1,6,904.901245,16.845282,0,4637.73291,635.845703,963.928223,396.831543,-583.997558999999,-522.300293,381.383789,-487.565917999999,843015,0.371998,8347,three,0.423855,5.202115,-8.506601,-0.0357970000000001,0.628816,3.135322,0.0555160707494574,0.567264573991031
16458,1594,14624,1,1,6,713.988464,20.171131,1,4103.354004,926.291504,1195.956543,197.363281,166.278809,-669.109864,35.8027349999993,-204.643554,860220,0.371998,7419,three,0.395844,5.197588,-8.52367,-0.0355980000000002,0.632274,3.12525,0.114024369399081,1
17262,692,14240,0,1,6,722.193726,17.796328,1,4895.464844,877.120116999999,916.191894,77.939942,-126.9375,60.6162110000005,-50.6904300000006,0.182128999999804,851618,0.371998,6492,three,0.326115,5.159802,-8.543355,-0.0353849999999998,0.637698,3.107355,0.0388359218430611,1
18077,182,13908,0,1,6,763.575073,22.729561,1,4528.713867,1115.182129,1204.220703,284.311524,-517.980957,469.007812,-324.376953,135.669433999999,860220,0.356498,5564,three,0.284495,5.127325,-8.546577,-0.0353669999999999,0.639726,3.099388,0.0464853930724722,1
