x,y,A128,A129,A130,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
882812,9713795,35155,4650,10565,0,300.7479858,2.6672335,1,0,0,0,0,0,0,0,860220,3.05154796749105,16694,two14540,0.00551777041684289,1
883739,9713795,35488,4532,9878,0,319.1486206,0.5799591,1,0,0,0,0,0,0,0,860220,2.37342619693749,15767,two14541,0.00374172116305349,1
884667,9713795,35852,4586,9030,0,312.9941406,6.877068,1,0,0,0,0,0,0,0,860220,1.93749077301019,14839,two14542,0.00516672587633831,1
885594,9713795,36236,4821,8114,0,320.0739441,0.6700206,1,0,0,0,0,0,0,0,860220,1.16249446380611,13912,two14543,0.00238234769668069,1
886522,9713795,36640,3982,7200,0,311.6233826,6.7633371,1,0,0,0,0,0,0,0,860220,0.678121770553567,12984,two14544,0.00257751769212532,1
887449,9713795,37063,3058,6283,0,339.8659363,12.3373823,1,0,0,0,0,0,0,974,860220,0.532809962577803,12057,two14545,0.00252637166267195,1
888377,9713795,37504,2141,5366,0,393.6946716,7.7136145,1,0,0,0,0,0,0,1948,860220,0.484372693252548,11129,two14546,0.00100290118662412,1
889304,9713795,37963,1243,4448,0,317.3555298,4.4617596,1,0,0,0,0,0,0,9740,860220,0.339060885276784,10202,two14547,0.000382956041969839,1
890232,9713795,38438,379,3531,0,284.6780701,8.6904564,1,10714,2922,1948,0,2922,2922,9740.0004273,860220,0.145311807975764,9274,two14548,0.000350900906340851,1
880029,9712867,33364,6281,12410,0,294.6434021,3.9527423,1,0,0,0,0,0,0,13635.9995118,860220,5.66716051105481,17840,two14748,0.0120245483801222,1
880957,9712867,33649,5950,11591,0,300.7156067,1.880391,1,0,0,0,0,0,0,13636,851618,5.32809962577803,17719,two14749,0.00611932512815333,1
881884,9712867,33958,5753,10789,0,305.0719604,5.056169,1,0,0,0,0,0,0,3896,860220,4.55310331657395,17622,two14750,0.00768379679363209,1
882812,9712867,34288,5560,10010,0,320.0680542,0.5291193,1,0,0,0,0,0,0,0,860220,3.58435793006886,16694,two14751,0.00441947910020611,1
883739,9712867,34629,5462,9282,0,299.968689,0.1466568,1,0,0,0,0,0,0,0,860220,2.71248708221427,15767,two14752,0.00345730077556041,1
884667,9712867,35002,5507,8565,0,303.30896,4.9260273,1,0,0,0,0,0,0,0,860220,2.22811438896172,14839,two14753,0.00440689631352491,1
885594,9712867,35396,4899,7891,0,305.6413574,4.7906914,1,0,0,0,0,0,0,0,860220,1.54999261840815,13912,two14754,0.00321100581292231,1
886522,9712867,35809,3971,7043,0,301.1339722,2.8664992,1,0,0,0,0,0,0,0,860220,1.11405719448086,12984,two14755,0.00172746499527984,1
