A128,A129,A130,A154,A347,A360,A361,A362,PML,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
5202,2746,20252,1,0,12,923.016602,13.063059,1,5311.043945,-99.9257809999999,-926.251465,78.9248049999997,300.922852000001,-44.8935550000006,491.371582000001,-20.8823240000002,851618,8.573397,4994,0.316052,7.003748,1.651415,-8.537492,0.10141,0.0969709999999999,0.864082880566442,1
5495,1932,21152,1,0,12,887.635315,7.327171,1,5354.205566,-170.151366999999,-471.246093,-149.287598,221.682129,-121.327149,350.027344,-75.2954110000001,834413,7.604651,5408,0.324522,6.995701,1.698231,-8.576765,0.10606,0.101295,0.871274308236406,1
5927,1116,21734,1,0,12,826.517944,11.480064,1,5116.939941,199.212891,-160.630370999999,474.806640999999,-247.675781,-172.722656999999,305.435058999999,-64.202636,843015,7.120279,5938,0.332847,6.9877,1.741385,-8.61238,0.110547,0.105595,0.923826627330012,1
6456,300,21582,1,0,12,860.098022,24.587515,1,5207.520996,385.944336,-412.148437,245.265625,24.5048819999993,-116.676269,644.998535,-30.0810539999993,843015,8.137461,6558,0.340997,6.979732,1.780362,-8.6438,0.114846,0.109857,0.959645395950878,1
7065,483,21468,1,0,12,780.411316,9.609853,1,5055.791992,-5.22802700000011,204.982422,-79.1445310000008,704.255859000001,-1025.877441,190.555664,-2.10791100000006,851618,9.057769,7243,0.359743,6.92747,1.860428,-8.673334,0.126944,0.118235,0.878944028571703,1
7729,1339,21395,1,0,12,1126.326294,40.107971,1,5034.993164,-224.650391,-66.7465820000007,953.289551,-109.318359999999,-355.024902,-646.850098,11.0830079999996,817209,9.542142,7978,0.368029,6.922995,1.873717,-8.682455,0.130737,0.123035,0.988431066795627,1
8438,2248,21362,1,0,12,1122.328247,18.703613,1,5023.038086,-84.8393559999995,406.830566000001,-90.5366210000002,-94.7392579999996,-485.862304,179.468261,-4.32714899999974,834413,9.978077,8749,0.376316,6.918519,1.887009,-8.691579,0.134531,0.127836,0.954511199513789,1
9187,3166,21367,1,0,12,1275.959351,20.969509,1,4922.267578,325.006836,376.341797,-99.4804690000001,13.6889650000003,114.598145,-80.1416019999997,-18.2646480000003,817209,10.123389,9548,0.384603,6.914044,1.9003,-8.700702,0.138324,0.132637,0.971979707029699,1
9966,4085,21412,1,0,12,1255.670776,19.52606,1,5384.37207,-760.18457,-665.474121,484.71875,-256.991699,57.544922,-379.982422,1.17285099999935,834413,9.832766,10369,0.392889,6.909569,1.91359,-8.709825,0.142117,0.137438,0.969067296544,1
10769,5009,21433,1,0,12,1126.281982,26.685925,1,5416.044922,-671.925293,113.16748,-79.0361320000002,-284.57959,-44.7402349999993,-376.736816000001,-15.8813479999999,834413,9.639017,11206,0.401176,6.905093,1.926881,-8.718948,0.145911,0.142239,0.98771052087409,1
11591,5934,21273,1,0,13,1090.712646,17.661972,1,5600.079102,-117.684571,598.297851,71.513672,16.3857420000004,-306.603515000001,-497.278321,-8.51611400000002,825811,9.542142,12057,0.409462,6.900618,1.940172,-8.728071,0.149704,0.147039,0.908248622718759,1
12429,5772,21153,1,0,13,1086.306763,24.121336,1,6522.885742,-1327.505371,-825.114258000001,-93.84375,416.653809,0.0283199999994395,-825.229491999999,40.6479490000002,843015,9.057769,12918,0.417749,6.896143,1.953462,-8.737194,0.153498,0.15184,0.905662681963431,1
13279,5414,21073,1,0,13,1192.827393,20.727688,1,5114.260742,-548.460449,134.828613,186.811524,-259.026855999999,-89.075683,-521.998047,63.4257809999999,834413,8.185899,13787,0.426035,6.891667,1.966754,-8.746318,0.157292,0.15664,0.933332099890381,1
14111,5006,21034,1,0,13,1391.13855,20.134811,1,5214,-85.9931640000004,-27.7866210000002,-307.473633,403.636230999999,-54.5112309999995,-99.8579100000006,69.7304679999997,817209,7.168716,14664,0.434322,6.887191,1.980045,-8.75544,0.161084,0.161442,0.930572010671855,1
14978,4461,21034,1,0,13,1470.872925,26.021275,1,4784.098145,1240.236328,349.574218,156.837891,-303.3125,-157.591797,1194.728516,123.281982,774198,6.054659,15547,0.442608,6.882717,1.993334,-8.764563,0.164878,0.166242,0.958638444813005,1
15853,3684,21075,1,0,13,1859.229492,32.161957,1,4888.125,-866.929688,596.85498,-1361.836425,223.039062000001,310.452636999999,-635.439942,219.956299,774198,5.376537,16434,0.450896,6.878242,2.006626,-8.773686,0.168671,0.171043,0.959196036434008,1
16734,2994,21156,1,0,13,1590.841919,30.62516,1,3985.987549,467.437744,694.219971,-720.354004,75.466308,110.814453,307.291016,279.100586,817209,4.843727,17326,0.459182,6.873766,2.019918,-8.78281,0.172465,0.175843,0.966447509870662,1
17620,2468,21278,1,0,13,1862.838623,27.186779,1,4835.346191,-87.1289059999999,-246.002928999999,237.259765,-1055.616699,793.045899,184.185058,359.451172,782800,0,18222,0.467469,6.869292,2.033206,-8.791931,0.176257,0.180645,0.939231579114156,1
18511,2225,21132,1,0,13,1743.574585,28.572268,1,4563.691895,53.0097649999998,202.943359,-159.804199,200.828125,-567.827636999999,376.870116999999,421.177734,782800,0,19120,0.475756,6.864816,2.046498,-8.801055,0.180051,0.185446,0.942071900748812,1
20186,2784,20317,0,0,13,1423.304199,24.715069,1,3684.974609,86.3542480000001,-171.346679,-69.8652350000002,323.144776,120.059326,-115.63794,422.706299,851618,0,20924,0.492329,6.855865,2.07308,-8.819301,0.187638,0.195047,0.012277273912034,1
6141,5677,17505,1,0,12,1609.960815,24.587725,1,4155.144531,107.808106,-327.392334,-197.840576,30.7309569999998,54.1489259999998,548.161133000001,235.534668,843015,6.829655,5641,0.278011,7.034264,1.440701,-8.356765,0.0824479999999999,0.0773630000000001,0.864226524283009,1
5991,4819,18433,1,0,12,1253.303101,17.140926,1,4243.665527,-256.168945,-187.368408,-250.334473,255.150635,561.291504,-634.908203,162.548828,843015,7.701526,5564,0.286419,7.026015,1.496788,-8.405286,0.0874440000000001,0.081458,0.846290301210547,1
5980,3984,19361,1,0,12,1091.588501,8.115044,1,4990.878418,-247.834961,-830.002930000001,350.220703,-194.447752999999,581.829589,-155.43457,111.686036,817209,8.621834,5641,0.294808,7.01786,1.551303,-8.452324,0.0923789999999998,0.0855900000000003,0.73380876754814,1
6107,3152,20289,1,0,12,1107.495605,22.696451,1,5215.503418,140.994141,-820.547363000001,95.0991210000002,431.207519000001,-73.185547,508.420411,11.7397460000002,834413,9.39683,5865,0.311417,7.001799,1.653538,-8.539795,0.101969,0.093906,0.932342012751487,1
