x,y,A128,A129,A130,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
855915,9672058,787,6050,268,0,422.5498657,10.9008083,0,34090,0,19480,0,8766,5844,974,860220,0,15956,two22051,0.163433233129239,0.607469512195122
856842,9672058,174,6831,632,0,292.0192871,13.8981133,0,16558,0,7792,0,1948,6818,974,851618,0,15211,two22052,0.184422400364372,1.82240853658537
839220,9671131,4560,4887,1870,1,569.1295166,17.7666969,0,0,0,0,0,0,0,1948,860220,3.19685977546682,22432,two22139,0.700329254842119,0.607469512195122
833655,9670203,5463,6271,5461,1,915.5,9.0044184,0,0,0,0,0,0,0,0,825811,1.40468081043239,17101,two22237,0.263407751624765,2.42987804878049
834583,9670203,5074,6048,5123,1,965.8687134,18.8189983,0,0,0,0,0,0,0,0,843015,1.35624354110713,18008,two22238,0.382581122025924,0.607469512195122
837365,9670203,4592,4980,3379,1,636.7161255,18.6175728,0,0,0,0,0,0,0,0,860220,1.88905350368494,20739,two22241,0.622834758196834,0.607469512195122
850350,9669276,1608,60,1492,0,229.2184906,6.0328999,0,4870,0,0,0,4870,0,973.9999924,851618,0,22123,two22357,0.133348854332955,0.607469512195122
819743,9668348,11224,5494,1400,1,1180.4576416,2.8308904,0,0,0,0,0,0,0,974,817209,1.79217896503443,6221,two22423,0.0776184612761248,0.607469512195122
816961,9665566,8802,2274,90,0,715.6994019,9.919322,0,0,0,0,0,0,0,11687.9998779,860220,1.21093173313137,8347,two22712,0.0154622898815028,0.607469512195122
819743,9665566,11480,3010,660,0,951.4047241,13.562645,0,0,0,0,0,0,0,5844.0001068,834413,1.45311807975764,8798,two22715,0.0133354246774633,0.607469512195122
830873,9665566,3498,2521,702,0,358.9747009,4.5362339,0,0,0,0,0,0,0,18506,860220,3.09998523681631,16224,two22727,0.0343373909388441,0.607469512195122
810468,9664638,3884,553,1494,0,405.7489319,25.8578739,0,0,0,0,0,0,0,29219.9995652,834413,1.25936900245663,11321,two22801,0.0218920970934543,0.607469512195122
815106,9664638,7406,1092,1494,0,395.1554565,35.9614944,0,0,0,0,0,0,0,18505.9997559,860220,1.21093173313137,9458,two22806,0.0343636345275818,0.607469512195122
817888,9664638,9944,1734,730,0,753.0899658,11.6352625,0,0,0,0,0,0,0,17532.0002136,857298,1.35624354110713,9321,two22809,0.0120365700967052,0.607469512195122
831800,9664638,2207,2250,1221,0,319.0987854,1.3839756,0,34090,974,28246,0,3896,974,16558.0002441,860220,2.76092435153952,17499,two22824,0.0371795935716932,0.607469512195122
864262,9771299,12329,3170,4044,1,708.1661987,9.0196142,0,0,0,0,0,0,0,4869.9999695,859246,0.371998228417957,8347,three4516,0.112229648513085,1.82240853658537
866117,9771299,14015,2932,2925,1,622.2241821,8.0633917,0,0,0,0,0,0,0,10714,847722,0.371998228417957,8550,three4518,0.124016340361763,0.607469512195122
864262,9770371,11940,2460,4285,1,637.999939,2.2335997,0,3896,3896,0,0,0,0,3895.9999695,860220,0.371998228417957,7419,three4619,0.0768345400983698,0.607469512195122
867045,9770371,14552,1768,1939,1,640.9498291,0.5969114,0,0,0,0,0,0,0,41881.9995118,860220,0.371998228417957,7924,three4622,0.050711368860877,0.607469512195122
880029,9768516,26931,335,982,0,653.8640747,8.0958214,0,974,0,974,0,0,0,19479.9995118,851618,0.697496678283669,16720,three4852,0.0204620414417325,0.607469512195122
