A128,A129,A130,A154,A347,A361,A362,PMI,toPeru.km,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
15229,1499,810,0,0,269.904907,8.031148,0,22.29814,18506,974,974,3896,4870,7792,29220.000492,856324,0.371998,16408,three18856,0.0252276433796284,0.662797125483693
14652,2334,1740,0,0,279.317596,6.029685,0,22.04596,8766,0,1948,2922,0,3896,18506,860220,0.371998,15794,three18857,0.0273227594978099,0.662797125483693
12431,1195,4883,0,0,260,-0.008177,0,20.53066,0,0,0,0,0,0,10713.999561,860220,0.371998,13279,three18862,0.025957781750248,0.662797125483693
12140,313,5040,0,0,268.4599,10.283102,0,20.25648,0,0,0,0,0,0,11687.999561,860220,0.371998,12918,three18863,0.0382413488249259,0.662797125483693
17441,6681,351,1,1,1041.534912,20.546265,0,33.20846,0,0,0,0,0,0,973.999992,834413,3.270484,10369,three19001,0.104362057755767,1.98839137645108
19837,2830,60,0,1,962.458923,12.408044,0,24.34526,0,0,0,0,0,0,0,834413,0.371998,23242,three19022,0.304750583569261,0.662797125483693
19490,3739,256,0,1,1092.216675,24.353456,0,24.07879,0,0,0,0,0,0,0,834413,0.371998,22432,three19023,0.337696901858898,1.32559425096739
19192,4618,445,0,1,953.156921,7.265982,0,23.77319,0,0,0,0,0,0,0,825811,0.371998,21632,three19024,0.227746437220131,1.32559425096739
19386,1724,771,0,1,767.427795,15.933768,0,23.77319,0,0,0,0,0,0,974,851618,0.371998,23646,three19194,0.432679059106326,0.662797125483693
18986,2635,968,0,1,947.390808,19.807316,0,23.46361,0,0,0,0,0,0,974,834413,0.371998,22813,three19195,0.366528431848653,1.32559425096739
18310,3987,1347,0,1,948.863586,22.076288,0,22.90708,0,0,0,0,0,0,0,843015,0.371998,21170,three19197,0.363587332861458,1.32559425096739
16575,4638,1425,1,1,963.530396,18.25131,0,32.30243,0,0,0,0,0,0,974,834413,2.541988,10574,three19342,0.155761952012595,1.32559425096739
18561,1677,1339,0,1,747.742615,29.496986,0,22.90708,0,0,0,0,0,0,6818.000053,860220,0.371998,23261,three19363,0.539948426560798,1.98839137645108
18142,2597,1877,0,1,762.409424,18.392996,0,22.58563,0,0,0,0,0,0,974,843015,0.371998,22413,three19364,0.425625381551881,2.65118850193477
17762,2940,2071,0,1,898.654907,23.334764,0,22.29814,0,0,0,0,0,0,0,843015,0.371998,21572,three19365,0.417155987302701,1.32559425096739
11901,2512,1510,1,0,241.836548,3.475435,0,19.1205,15584,5844,9740,0,0,0,22401.999133,860220,0.371998,13116,three19376,0.0563869608829234,0.662797125483693
10281,2059,1977,1,0,262.872711,4.641109,0,18.2221,0,0,0,0,0,0,6818,860220,0.371998,11321,three19379,0.0855745863885499,0.662797125483693
13904,2723,4344,1,1,1512.130249,11.044598,0,33.44079,0,0,0,0,0,0,1947.999985,817209,5.021976,9181,three19502,0.0253409816551238,1.32559425096739
15744,3370,2589,1,1,1305.200562,21.790775,0,32.19573,0,0,0,0,0,0,0,834413,2.696987,10493,three19504,0.12022796730271,0.662797125483693
18483,5125,825,1,1,811.314636,15.71678,0,30.42362,0,0,0,0,0,0,0,834413,0.759496,12615,three19507,0.296063032300797,0.662797125483693
19407,5591,494,1,1,787.510986,17.425653,0,29.86718,0,0,0,0,0,0,0,851618,0.666497,13376,three19508,0.338789219711812,2.65118850193477
17334,2141,2593,0,1,643.00946,10.425159,0,21.71176,0,0,0,0,0,0,1948,851618,0.371998,22045,three19527,0.412915489910944,0.662797125483693
16935,2040,2954,0,1,729.484558,21.954851,0,21.41255,0,0,0,0,0,0,0,860220,0.371998,21190,three19528,0.500560420555949,1.98839137645108
9511,2363,1090,1,0,286.055054,6.181254,0,17.32677,0,0,0,0,0,0,12662,860220,0.371998,10574,three19542,0.082658687715375,0.662797125483693
14985,2107,3848,1,1,1392.448975,22.945709,0,32.14225,0,0,0,0,0,0,1948,731187,2.913986,9274,three19662,0.0660289381873176,0.662797125483693
18613,4306,1693,1,1,1201.675049,24.349661,0,29.69387,0,0,0,0,0,0,0,834413,0.728497,12443,three19666,0.25740407603223,1.32559425096739
19531,4851,1366,1,1,1090.42981,26.808285,0,29.12348,0,0,0,0,0,0,0,851618,0.650997,13279,three19667,0.326652483036983,0.662797125483693
16508,1236,3060,0,1,655.190491,11.057047,0,20.84253,0,0,0,0,0,0,1948,851618,0.371998,21711,three19686,0.441199434750927,0.662797125483693
9319,2047,30,1,0,273.731232,8.095253,0,16.72039,0,0,0,0,0,0,10713.999878,860220,0.371998,10493,three19700,0.105356680539975,0.662797125483693
13417,924,5923,1,1,1094.098145,35.196316,0,32.46182,0,0,0,0,0,0,0,825811,4.13848,7243,three19814,0.138330399754571,1.32559425096739
16102,1930,3748,1,1,1322.966675,31.128944,0,30.83088,0,0,0,0,0,0,0,825811,1.596492,9548,three19817,0.210544039874455,1.32559425096739
17004,2546,3233,1,1,1202.766357,23.422176,0,30.19658,0,0,0,0,0,0,0,843015,1.177994,10369,three19818,0.229946819331644,0.662797125483693
19698,4158,2233,1,1,1042.881348,21.50687,0,28.3906,0,0,0,0,0,0,0,843015,0.635497,12918,three19821,0.293511920998871,1.32559425096739
16177,930,2424,0,1,371.103546,17.224031,0,20.25648,3896,2922,0,0,0,974,25323.999561,851618,0.371998,22298,three19839,0.482603564632296,0.662797125483693
6654,2054,2545,1,0,258.15625,1.663205,0,13.78799,0,0,0,0,0,0,17532,860220,0.371998,7978,three20154,0.0735196460333679,0.662797125483693
14493,1753,7686,1,1,1463.054199,23.653925,0,30.28192,0,0,0,0,0,0,0,791402,4.076481,5865,three20258,0.0433705229859759,1.98839137645108
15321,1357,7092,1,1,1280.700195,12.221926,0,29.69387,0,0,0,0,0,0,0,825811,2.898486,6752,three20259,0.0688843690494438,0.662797125483693
17866,241,5818,1,1,799.936157,0.299798,0,28.03999,0,0,0,0,0,0,0,851618,0.743996,9458,three20262,0.216457410301565,1.98839137645108
16300,3580,1797,1,0,427.388275,15.095431,0,21.35221,20454,0,9740,0,10714,0,69154.001958,830353,0.495998,20488,three20274,0.0164756657612599,0.662797125483693
7430,450,3772,1,0,248.252701,8.301452,0,13.50432,16558,0,0,8766,7792,0,59414.001344,857298,0.371998,9134,three20297,0.0364882836779292,0.662797125483693
17401,1039,7015,1,1,1066.03418,32.954216,0,27.82442,0,0,0,0,0,0,1948,817209,0.945495,8398,three20403,0.283939748622611,0.662797125483693
18239,375,6689,1,1,983.114014,18.810297,0,27.27802,0,0,0,0,0,0,1948,817209,0.743996,9321,three20404,0.241246251270329,0.662797125483693
15471,2653,1565,1,0,447.975128,2.835181,0,20.59341,3896,3896,0,0,0,0,51622.000974,852428,0.464998,20425,three20416,0.0211025821130043,0.662797125483693
