A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,toPeru.within10km,distance,weights
42473,540,7177,1,0,269.14447,3.365869,1,0,0,0,0,0,0,12662,860220,2.615613,12057,two13335,0,0.000680572518264043,1
42878,523,6472,1,0,262.88797,2.940626,1,0,0,0,0,0,0,8766,860220,2.470301,11206,two13336,0,0.000617857625035939,1
41237,134,7448,1,0,280.907806,1.326666,1,13636,0,2922,974,8766,974,18506,854376,2.13124,12918,two13523,0,0.000420776676867716,1
41634,174,6643,1,0,282.75943,6.841008,1,0,0,0,0,0,0,12662,860220,2.228114,12057,two13524,0,0.000717030996261782,1
42048,364,5874,1,0,295.08667,3.0238,1,974,0,0,0,0,974,8766,860220,1.889054,11206,two13525,0,0.000479141272077643,1
42478,182,5158,1,0,341.84964,11.375422,1,0,0,0,0,0,0,0,860220,1.453118,10369,two13526,0,0.001046449058677,1
40006,1443,7931,1,0,317.783997,2.434281,0,0,0,0,0,0,0,9740.000305,860220,0.726559,13504,two13715,0,0.000979286903558781,0.310344827586207
40394,947,7058,1,0,305.104492,8.164124,1,0,0,0,0,0,0,8765.999817,860220,1.017183,12615,two13716,0,0.00121740607419431,1
40799,1055,6202,1,0,289.104889,6.092004,1,0,0,0,0,0,0,8765.999817,860220,1.114057,11731,two13717,0,0.000823051910091315,1
41221,1282,5370,1,0,318.948822,2.344077,1,0,0,0,0,0,0,8766,860220,0.968745,10855,two13718,0,0.000475839675602296,1
41660,780,4576,1,0,311.590424,10.566906,1,1948,0,0,1948,0,0,0,834413,0.678122,9989,two13719,0,0.000774823031645658,1
42114,134,3844,1,0,285.191986,8.115825,0,5844,0,0,0,5844,0,1948,851618,0.435935,9134,two13720,0,0.000492874532585458,1.24137931034483
38422,1883,9502,1,0,318.105621,0.792522,0,0,0,0,0,0,0,0,860220,0.678122,15098,two13911,0,0.00202540838417532,0.620689655172414
38781,2313,8589,1,0,320,0,1,0,0,0,0,0,0,5844,860220,0.242186,14187,two13912,0,0.00132460630774566,1
39159,2166,7679,1,0,320,0,1,0,0,0,0,0,0,5844,860220,0.096875,13279,two13913,0,0.000994313209007187,1
39555,1868,6774,1,0,313.847992,3.688109,1,0,0,0,0,0,0,5844,860220,0.096875,12374,two13914,0,0.00101953275582469,1
39968,1965,5876,1,0,313.631927,7.99296,1,0,0,0,0,0,0,5844,860220,0.096875,11472,two13915,0,0.00120195021844021,1
40399,1652,4990,1,0,392.17453,6.566902,1,0,0,0,0,0,0,13636,860220,0.096875,10574,two13916,0,0.000563634955743691,1
40846,725,4124,1,0,298.003784,11.790624,1,0,0,0,0,0,0,7792,860220,0.096875,9683,two13917,0,0.000757584728964806,1
41310,174,3293,1,0,280,0,0,19480,0,0,0,9740,9740,9740,860220,0.048437,8798,two13918,0,0.000172206894929068,0.310344827586207
37562,2765,9341,1,0,320,0,1,0,0,0,0,0,0,0,860220,1.114057,14955,two14117,0,0.00225135080093359,1
