A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
47445,3618,4999,1,0,318.4913635,1.9318839,1,0,0,0,0,0,0,974,860220,6.05465866565685,9274,two12424,0.000819750113879657,1,890232,9723997,-77.4919891689144,-2.4923631581596
45132,2678,8814,1,0,299.7810059,7.9335361,0,6818,0,4870,1948,0,0,0,860220,4.94060147117599,11731,two12600,0.00440230405867753,0.33769322235434,886522,9723070,-77.5252762808832,-2.50082756453644
45476,2874,7940,1,0,279.2251892,7.297749,1,1948,0,1948,0,0,0,0,860220,5.23122508712752,12057,two12601,0.00291672344103767,1,887449,9723070,-77.5169488320739,-2.50080534711069
45836,3143,7061,1,0,291.1576843,3.2372122,1,0,0,0,0,0,0,0,860220,5.08591327915175,11168,two12602,0.00165421950773183,1,888377,9723070,-77.5086214575677,-2.50078307676532
46212,3618,6185,1,0,289.8969116,8.4000578,1,0,0,0,0,0,0,0,860220,5.18278781780226,10244,two12603,0.00225947963343216,1,889304,9723070,-77.5002941575415,-2.50076075350267
44294,1782,9116,1,0,311.3029175,11.1607742,0,1948,0,0,1948,0,0,3896,860220,4.64997785522446,12615,two12781,0.00439961263681643,0.67538644470868,886522,9722142,-77.5252541801145,-2.50920308149497
44644,2001,8237,1,0,298.3904114,3.2456532,1,2922,0,0,0,974,1948,3896,860220,5.37653689510328,12199,two12782,0.00167627951711179,1,887449,9722142,-77.5169266785999,-2.50918078956962
45011,2346,7361,1,0,302.3516235,4.0027995,1,0,0,0,0,0,0,3896,860220,5.37653689510328,11283,two12783,0.00149676088974086,1,888377,9722142,-77.5085992513908,-2.50915844454721
45793,3428,5606,1,0,330.5319214,9.1679974,0,0,0,0,0,0,0,974,860220,5.52184870307905,9458,two12785,0.00194673735693232,0.33769322235434,890232,9722142,-77.4919446205962,-2.50911359522061
43788,1100,8547,1,0,268.2815857,6.8303871,1,1948,0,1948,0,0,0,6818.0002136,860220,4.79528966320023,12374,two12963,0.00197430851667114,1,887449,9721215,-77.5169044508204,-2.51755623075703
44162,1640,7672,1,0,299.2683411,14.4690504,1,0,0,0,0,0,0,6818,860220,5.0374760098265,11472,two12964,0.00336361491824551,1,888377,9721215,-77.5085769707316,-2.51753381105667
44552,2359,6792,1,0,273.7828979,5.3613901,0,0,0,0,0,0,0,2922,860220,4.84372693252548,10574,two12965,0.00153395697186297,1.01307966706302,889304,9721215,-77.5002495651274,-2.51751133808415
42934,351,8485,1,0,260.8323059,0.9605744,1,15584,0,8766,974,0,5844,12661.9998779,860220,3.24529704479207,12615,two13148,0.000801302530852003,1,887449,9720287,-77.516882148733,-2.52593167066867
43315,1050,7787,1,0,295.1901855,0.9124472,0,0,0,0,0,0,0,12661.9996643,860220,3.43904612209309,11731,two13149,0.000766682176558915,0.33769322235434,888377,9720287,-77.5085546155877,-2.52590917628945
43713,1441,7103,1,0,263.0479736,1.2525617,0,0,0,0,0,0,0,8766,860220,3.43904612209309,10855,two13150,0.000814114862029318,1.01307966706302,889304,9720287,-77.5002271569294,-2.52588662846063
42084,30,7929,1,0,279.9945374,0.1255106,0,24350,0,0,2922,15584,5844,15584.0002441,857298,2.42186346626274,12918,two13334,0.000479918338316583,0.67538644470868,887449,9719360,-77.5168597723354,-2.5343071093003
42473,540,7177,1,0,269.1444702,3.3658688,1,0,0,0,0,0,0,12662,860220,2.61561254356376,12057,two13335,0.000650550195237901,1,888377,9719360,-77.5085321859568,-2.53428454024131
42878,523,6472,1,0,262.88797,2.9406261,1,0,0,0,0,0,0,8766,860220,2.47030073558799,11206,two13336,0.000573875303792625,1,889304,9719360,-77.5002046740675,-2.53426191755527
43300,676,5824,1,0,302.235321,15.6250238,0,0,0,0,0,0,0,0,860220,2.32498892761223,10369,two13337,0.00195342050702434,0.33769322235434,890232,9719360,-77.4918772368444,-2.53423924124458
41237,134,7448,1,0,280.9078064,1.3266662,1,13636,0,2922,974,8766,974,18506,854376,2.13123985031121,12918,two13523,0.000411100330511235,1,887449,9718432,-77.5168373216251,-2.54268254664769
41634,174,6643,1,0,282.7594299,6.8410077,1,0,0,0,0,0,0,12662,860220,2.22811438896172,12057,two13524,0.000662824125178193,1,888377,9718432,-77.5085096818364,-2.54265990290801
42048,364,5874,1,0,295.0866699,3.0237999,1,974,0,0,0,0,974,8766,860220,1.88905350368494,11206,two13525,0.000438084923328523,1,889304,9718432,-77.5001821165395,-2.54263720536384
