A128,A129,A130,A154,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
18483,5125,825,1,1,811.3146362,15.7167797,0,0,0,0,0,0,0,0,834413,1.25936900245663,12615,four19507,0.197185902139147,2.1592039800995,829945,9689680,-78.0326644926205,-2.80375199016563
19407,5591,494,1,1,787.5109863,17.4256535,0,0,0,0,0,0,0,8766,851618,1.11405719448086,13376,four19508,0.202945947476415,2.1592039800995,830873,9689680,-78.0243308320273,-2.80373071275873
20331,6163,174,1,1,812.1992188,30.3688221,0,0,0,0,0,0,0,8766,834413,0.968745386505096,14157,four19509,0.289894230277774,2.87893864013267,831800,9689680,-78.0159972350169,-2.80370937589363
18246,825,982,0,1,378.0966187,6.7429047,0,0,0,0,0,0,0,974,833439,1.01718265583035,23773,four19525,0.339920594111306,0.719734660033168,846640,9689680,-77.8826684748823,-2.80335990159807
20450,5469,1036,1,1,912.8642578,28.0803547,0,0,0,0,0,0,0,8766,843015,0.920308117179841,14126,four19668,0.204543832504736,2.1592039800995,831800,9688753,-78.0159759538031,-2.81208892745218
17586,182,644,0,1,352.1604004,13.9253712,0,3896,0,0,0,3896,0,3896.0000534,854376,0.968745386505096,24345,four19683,0.451978347581013,1.43946932006634,845713,9688753,-77.8909788612152,-2.81176076166073
18788,3542,2563,1,1,1133.6018066,12.8576069,0,0,0,0,0,0,0,0,834413,1.16249446380611,12057,four19820,0.0629096209434983,0.719734660033168,829945,9687826,-78.0326221036659,-2.82051134703534
15563,763,1116,0,1,380.0170898,7.1013441,0,2922,0,0,1948,974,0,8765.999939,834413,0.968745386505096,22944,four19989,0.315036685873672,0.719734660033168,846640,9686898,-77.882601589853,-2.82849541383588
5308,1455,7470,1,1,1677.7502441,16.3564224,0,0,0,0,0,0,0,974,774198,29.0623615951529,5408,four20102,2.66702082396752e-05,0.719734660033168,814178,9685971,-78.1742652938959,-2.83762753718241
12457,3282,4054,1,0,613.7963867,23.0819511,0,0,0,0,0,0,0,0,834413,0.968745386505096,17326,four20143,0.0745355684968583,0.719734660033168,852205,9685971,-77.8325838064884,-2.83673732397628
6003,2388,2388,1,0,224.0808105,2.3922005,0,0,0,0,0,0,0,8765.9997559,860220,1.06561992515561,7243,four20155,0.0612075386388509,0.719734660033168,863335,9685971,-77.7326004429969,-2.83645764964977
16160,742,6575,1,1,1010.5892334,31.3888931,0,2922,0,0,0,2922,0,0,834413,4.21404243129717,7648,four20260,0.0383927038044115,0.719734660033168,826235,9685043,-78.0658945109435,-2.84573615200419
17009,241,6153,1,1,868.8148804,34.6812096,0,0,0,0,0,0,0,0,800004,1.74374169570917,8550,four20261,0.0893601281511569,0.719734660033168,827163,9685043,-78.057560299867,-2.84571479755082
